-3.0,-13.1,30.3,-3.1,-13.4,32.2,0.0,-17.7,30.3,3.0,-13.3,30.3
-2.2,1.1,44.3,-1.8,1.6,44.3,-2.8,2.9,44.3,-2.3,2.1,47.8
-8.5,-6.0,49.7,-9.6,-6.8,52.6,-6.9,-7.9,50.8,-5.2,-5.4,52.6
-2.9,-3.0,35.7,-2.6,-5.0,35.7,-1.0,-3.9,35.7,-3.6,-4.1,40.0
-10.7,-4.9,30.3,-10.6,-2.8,30.3,-13.3,-6.3,30.3,-12.4,-6.0,32.2
-0.8,4.2,57.2,-3.3,3.0,57.2,-2.0,3.6,52.6,0.4,0.9,52.6
4.0,3.6,22.8,5.5,6.0,27.4,5.2,2.6,27.4,8.2,3.1,27.4
2.1,-9.4,49.7,0.0,-9.2,49.7,3.1,-13.4,47.8,3.0,-13.3,49.7
2.4,10.0,50.8,4.2,8.3,49.7,3.1,13.2,49.7,4.8,9.4,52.6
-2.4,10.3,61.8,-2.4,10.3,66.3,0.0,10.3,61.8,-3.4,14.9,61.8
-15.9,7.7,49.7,-9.9,4.8,44.3,-9.0,4.3,40.0,-13.8,11.0,49.7
-19.5,4.5,18.2,-20.0,0.0,22.8,-15.9,-0.4,18.2,-14.1,6.1,18.2
0.2,0.5,44.3,2.8,2.5,47.8,-0.5,2.9,47.8,1.1,-1.7,47.8
8.6,6.5,0.0,5.5,6.0,0.0,2.9,4.7,0.0,8.2,3.1,0.0
5.5,-0.2,40.0,3.7,-0.9,35.7,5.6,-1.5,35.7,4.7,-2.5,40.0
-5.2,-5.4,9.1,-2.4,-3.4,9.1,-3.4,-2.7,9.1,-3.4,-2.7,13.7
2.0,-6.5,61.8,6.6,-8.6,66.3,2.4,-10.6,66.3,4.5,-9.6,61.8
-8.6,10.7,47.8,-4.8,9.9,44.3,-6.2,7.8,40.0,-4.8,9.9,35.7
0.0,11.0,44.3,-2.4,10.7,44.3,-1.9,8.2,44.3,-1.7,7.1,47.8
-7.1,-8.1,66.3,-5.2,-5.4,61.8,-3.4,-2.7,66.3,-1.4,-4.0,66.3
-12.1,-5.5,66.3,-15.0,-7.1,70.9,-12.0,-3.2,70.9,-15.9,-0.4,70.9
-14.1,6.1,70.9,-20.0,0.0,75.4,-14.1,6.1,80.0,-18.0,8.7,75.4
-1.3,-1.8,44.3,-1.0,-2.8,47.8,0.0,-1.8,44.3,-1.3,-0.3,44.3
2.4,-10.6,4.6,6.6,-8.6,4.6,4.5,-9.6,0.0,2.0,-6.5,0.0
-3.0,-2.4,30.3,-4.6,-4.8,30.3,-2.1,-3.0,30.3,-4.9,-5.6,32.2
10.5,2.1,27.4,8.2,3.1,27.4,6.3,1.7,22.8,7.3,-0.5,22.8
6.6,-8.6,80.0,9.5,-12.1,80.0,6.6,-8.6,75.4,8.0,-6.8,80.0
-2.9,-3.0,44.3,-3.6,-4.1,40.0,-2.6,-5.0,44.3,-3.9,-4.5,44.3
-7.1,-8.1,66.3,-12.1,-5.5,66.3,-9.6,-6.8,70.9,-7.6,-1.8,70.9
-3.4,14.9,52.6,-4.5,19.5,52.6,-4.3,18.9,50.8,-8.7,18.0,52.6
8.7,-18.0,52.6,4.5,-19.5,52.6,4.3,-18.9,50.8,8.7,-18.0,27.4
6.9,3.1,32.2,7.5,-0.2,32.2,9.3,1.9,30.3,10.7,2.4,35.7
6.9,-3.5,30.3,6.0,-2.8,29.2,5.5,-6.0,27.4,4.9,-5.3,30.3
-15.0,-7.1,18.2,-19.5,-4.5,18.2,-18.0,-8.7,18.2,-18.0,-8.7,22.8
-5.1,5.3,27.4,-6.9,7.6,22.8,-4.6,9.0,27.4,-1.6,7.3,27.4
-4.0,1.9,0.0,-2.4,-3.4,0.0,-5.2,-5.4,0.0,5.3,-3.2,0.0
-18.0,8.7,70.9,-18.0,8.7,75.4,-14.1,6.1,70.9,-15.6,12.5,70.9
-15.9,-7.7,30.3,-9.0,-4.3,40.0,-9.9,-4.8,35.7,-17.2,-3.9,30.3
8.5,-0.1,44.3,5.5,-0.2,40.0,9.0,-4.3,40.0,7.5,-3.8,44.3
-12.0,-3.2,9.1,-11.9,-0.8,4.6,-11.9,-0.8,9.1,-7.6,-1.8,9.1
-8.6,-6.8,35.7,-12.4,-6.0,32.2,-8.3,-3.8,32.2,-8.5,-6.0,30.3
-19.4,0.0,50.8,-15.9,-0.4,52.6,-17.2,3.9,49.7,-19.5,4.5,52.6
-1.9,-7.1,27.4,-1.7,-6.3,30.3,-4.6,-4.8,30.3,-4.2,-8.1,30.3
6.6,-8.6,13.7,2.4,-10.6,13.7,4.4,-3.5,13.7,2.0,-6.5,9.1
0.1,-3.2,52.6,3.0,-3.0,52.6,1.5,-2.5,57.2,2.0,-6.5,52.6
9.8,12.0,80.0,12.5,15.6,75.4,15.6,12.5,80.0,18.0,8.7,75.4
-2.3,-9.8,29.2,-3.0,-13.1,30.3,0.0,-10.4,27.4,0.0,-9.2,30.3
-7.1,-8.1,75.4,-2.4,-10.1,75.4,-1.9,-7.1,80.0,-4.8,-9.1,80.0
-18.0,-8.7,52.6,-15.0,-7.1,52.6,-17.4,-8.4,50.8,-19.5,-4.5,52.6
3.1,13.2,30.3,0.0,9.1,30.3,2.2,9.2,30.3,3.1,13.4,32.2
-4.2,-8.1,30.3,-4.8,-9.1,27.4,-8.7,-10.5,30.3,-6.9,-7.9,29.2
-5.4,-6.5,35.7,-5.3,-3.7,35.7,-3.9,-4.5,35.7,-4.9,-5.6,32.2
2.2,9.2,30.3,0.0,9.1,30.3,0.0,11.0,35.7,3.1,13.4,32.2
1.2,4.4,44.3,1.2,4.0,47.8,2.6,5.2,44.3,1.3,5.7,44.3
-13.8,-11.0,49.7,-13.8,-11.0,30.3,-17.4,-8.4,29.2,-15.9,-7.7,49.7
